id,neighbor_mask,tile_id
001,TODO,0
002,TODO,1
003,TODO,2
004,TODO,3
005,TODO,4
006,TODO,5
007,TODO,6
008,TODO,7
009,TODO,8
010,TODO,9
011,TODO,10
012,TODO,11
013,TODO,12
014,TODO,13
015,TODO,14
016,TODO,15
017,TODO,16
018,TODO,17
019,TODO,18
020,TODO,19
021,TODO,20
022,TODO,21
023,TODO,22
024,TODO,23
025,TODO,24
026,TODO,25
027,TODO,26
028,TODO,27
029,TODO,28
030,TODO,29
031,TODO,30
032,TODO,31
033,TODO,32
034,TODO,33
035,TODO,34
036,TODO,35
037,TODO,36
038,TODO,37
039,TODO,38
040,TODO,39
041,TODO,40
042,TODO,41
043,TODO,42
044,TODO,43
045,TODO,44
046,TODO,45
047,TODO,46
